Timestamp,How much time do you read every day?,How much time do you sleep every day?,Are you in a relationship?,Do you attend your class almost regularly?,Do you study in a group?,What is your study materials?,Are you addicted to drug?,Do you like to think at the time of reading?,How much time do you pass by gathering with your friends?,Do you play online games?,Where do you live?,What's your cgpa?
11/4/2019 17:14,1 hour,7 hours,No,Yes,No,Slide,No,No,above 2 hours,No,Hall,3.28
11/4/2019 17:14,1 hour,below 6 hours,No,Yes,No,Slide,No,No,above 2 hours,Yes,House rent,3.5
11/4/2019 17:15,1 hour,above 8 hours,No,Yes,Yes,Slide,No,No,above 2 hours,Yes,With parents,3.36
11/4/2019 17:22,3 hours or greater than 3,7 hours,No,Yes,Yes,Both,No,Yes,1 hours,No,House rent,3.5
11/4/2019 17:56,read before exam only,below 6 hours,No,Yes,Yes,Slide,No,Yes,above 2 hours,Yes,House rent,2.93
11/4/2019 17:56,1 or 2 hours a day,above 8 hours,Yes,Yes,Yes,Both,No,Yes,no gathering,No,With parents,3.79
11/4/2019 18:04,1 or 2 hours a day,7 hours,No,No,No,Both,No,No,above 2 hours,Yes,With parents,3.96
11/4/2019 18:05,read before exam only,above 8 hours,Yes,Yes,No,Both,No,Yes,no gathering,Yes,Hall,3.2
11/4/2019 18:08,read before exam only,above 8 hours,Yes,No,No,Slide,No,No,above 2 hours,Yes,House rent,4
11/4/2019 18:10,read before exam only,below 6 hours,No,Yes,No,Both,No,No,1 hours,No,With parents,3.96
11/4/2019 18:11,read before exam only,above 8 hours,Yes,Yes,No,Both,No,Yes,no gathering,No,Hall,3.54
11/4/2019 18:11,read before exam only,above 8 hours,No,Yes,Yes,Both,No,Yes,above 2 hours,No,With parents,3.77
11/4/2019 18:11,read before exam only,7 hours,No,Yes,Yes,Slide,No,Yes,above 2 hours,No,Hall,3.2
11/4/2019 18:12,read before exam only,7 hours,No,Yes,Yes,Both,No,Yes,above 2 hours,Yes,House rent,3.81
11/4/2019 18:13,1 or 2 hours a day,7 hours,Yes,Yes,No,Book,No,Yes,1 hours,Yes,Hall,3.7
11/4/2019 18:13,read before exam only,above 8 hours,Yes,Yes,Yes,Slide,No,No,above 2 hours,No,Hall,2.63
11/4/2019 18:14,1 or 2 hours a day,above 8 hours,No,Yes,Yes,Both,No,Yes,no gathering,Yes,With parents,3.6
11/4/2019 18:15,read before exam only,above 8 hours,No,No,No,Both,No,Yes,above 2 hours,Yes,House rent,3.67
11/4/2019 18:15,3 hours or greater than 3,7 hours,No,Yes,Yes,Both,No,No,no gathering,Yes,With parents,3.33
11/4/2019 18:15,1 or 2 hours a day,above 8 hours,No,Yes,No,Both,No,Yes,1 hours,Yes,With parents,3.79
11/4/2019 18:15,read before exam only,7 hours,Yes,Yes,No,Both,No,Yes,1 hours,No,Hall,3.35
11/4/2019 18:15,3 hours or greater than 3,below 6 hours,Yes,Yes,No,Book,No,Yes,above 2 hours,No,Hall,3.06
11/4/2019 18:16,1 or 2 hours a day,7 hours,Yes,Yes,No,Book,No,Yes,no gathering,No,Hall,3.88
11/4/2019 18:16,3 hours or greater than 3,7 hours,Yes,Yes,Yes,Both,No,Yes,1 hours,No,Hall,3.81
11/4/2019 18:16,3 hours or greater than 3,below 6 hours,No,Yes,Yes,Both,No,Yes,no gathering,Yes,With parents,3.79
11/4/2019 18:16,read before exam only,above 8 hours,No,Yes,No,Both,No,Yes,no gathering,No,With parents,3.83
11/4/2019 18:17,read before exam only,above 8 hours,No,Yes,No,Slide,No,Yes,above 2 hours,Yes,With parents,3.91
11/4/2019 18:18,read before exam only,7 hours,Yes,Yes,Yes,Both,No,Yes,above 2 hours,Yes,Hall,3.72
11/4/2019 18:18,3 hours or greater than 3,7 hours,No,Yes,No,Book,No,Yes,above 2 hours,Yes,Hall,3.52
11/4/2019 18:18,1 or 2 hours a day,7 hours,No,Yes,No,Both,No,No,1 hours,No,With parents,3.67
11/4/2019 18:19,read before exam only,below 6 hours,Yes,Yes,No,Slide,No,Yes,no gathering,No,House rent,3.71
11/4/2019 18:19,read before exam only,below 6 hours,Yes,Yes,Yes,Both,No,Yes,1 hours,No,With parents,3.01
11/4/2019 18:21,read before exam only,above 8 hours,Yes,Yes,No,Both,No,Yes,above 2 hours,Yes,With parents,3.75
11/4/2019 18:22,read before exam only,below 6 hours,Yes,Yes,Yes,Both,No,Yes,no gathering,No,Hall,3.25
11/4/2019 18:22,read before exam only,7 hours,No,Yes,No,Slide,No,Yes,above 2 hours,No,House rent,4
11/4/2019 18:23,read before exam only,above 8 hours,No,Yes,Yes,Both,No,Yes,no gathering,Yes,With parents,3.82
11/4/2019 18:23,1 or 2 hours a day,7 hours,Yes,Yes,Yes,Both,No,Yes,1 hours,No,Hall,3.36
11/4/2019 18:24,read before exam only,below 6 hours,No,Yes,Yes,Slide,No,Yes,above 2 hours,No,House rent,3.42
11/4/2019 18:25,1 or 2 hours a day,7 hours,Yes,Yes,Yes,Both,No,Yes,1 hours,Yes,With parents,3.1
11/4/2019 18:27,read before exam only,7 hours,Yes,Yes,No,Both,No,Yes,1 hours,No,With parents,3.83
11/4/2019 18:27,read before exam only,below 6 hours,Yes,Yes,Yes,Both,No,Yes,above 2 hours,No,With parents,2.83
11/4/2019 18:27,1 or 2 hours a day,7 hours,No,Yes,No,Both,No,Yes,1 hours,No,Hall,4
11/4/2019 18:28,read before exam only,below 6 hours,Yes,No,No,Both,No,Yes,1 hours,Yes,Hall,3.56
11/4/2019 18:28,read before exam only,7 hours,No,Yes,No,Both,No,Yes,1 hours,Yes,With parents,3.63
